"SIMULASI MONTE CARLO UNTUK MEMPREDIKSI  
JUMLAH KUNJUNGAN PASIEN RAWAT INAP DI RUMAH SAKIT GUNUNG JATI KOTA CIREBON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,tahun,bulan,Angka Acak,,,,,,Simulasi,,,,,,Variabel Turunan 1: Selisih Jumlah,,,,,,Variabel Turunan 2: Tren Kunjungan,,,,,,Variabel Turunan 3: Persentase Perubahan Bulanan,,,,,
,,,Kota Cirebon,Kab. Cirebon,Kuningan,Indramayu,Majalengka,Lain-lain,Kota Cirebon,Kab. Cirebon,Kuningan,Indramayu,Majalengka,Lain-lain,Kota Cirebon,Kab. Cirebon,Kuningan,Indramayu,Majalengka,Lain-lain,Kota Cirebon,Kab. Cirebon,Kuningan,Indramayu,Majalengka,Lain-lain,Kota Cirebon,Kab. Cirebon,Kuningan,Indramayu,Majalengka,Lain-lain
1,2021,Januari,79,5,27,100,32,22,482,586,52,1297,53,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2021,Februari,9,5,55,59,6,29,342,542,125,225,67,65,-140,-44,73,-1072,14,24,Turun,Turun,Naik,Turun,Naik,Naik,-29%,-8%,140%,-83%,26%,59%
3,2021,Maret,9,94,60,73,93,77,310,1223,142,129,100,109,-32,681,17,-96,33,44,Turun,Naik,Naik,Turun,Naik,Naik,-9%,126%,14%,-43%,49%,68%
4,2021,April,38,78,83,25,100,12,378,1050,143,116,262,58,68,-173,1,-13,162,-51,Naik,Turun,Naik,Turun,Naik,Turun,22%,-14%,1%,-10%,162%,-47%
5,2021,Mei,37,8,85,63,10,83,412,571,184,122,65,107,34,-479,41,6,-197,49,Naik,Turun,Naik,Naik,Turun,Naik,9%,-46%,29%,5%,-75%,84%
6,2021,Juni,63,96,7,51,15,60,493,1246,65,142,45,98,81,675,-119,20,-20,-9,Naik,Naik,Turun,Naik,Turun,Turun,20%,118%,-65%,16%,-31%,-8%
7,2021,Juli,48,70,2,20,38,39,454,1136,60,56,41,85,-39,-110,-5,-86,-4,-13,Turun,Turun,Turun,Turun,Turun,Turun,-8%,-9%,-8%,-61%,-9%,-13%
8,2021,Agustus,23,76,37,81,42,37,383,1169,116,205,68,69,-71,33,56,149,27,-16,Turun,Naik,Naik,Naik,Naik,Turun,-16%,3%,93%,266%,66%,-19%
9,2021,September,9,88,28,86,65,85,330,1284,70,227,53,103,-53,115,-46,22,-15,34,Turun,Naik,Turun,Naik,Turun,Naik,-14%,10%,-40%,11%,-22%,49%
