id,Bulan,Nama_Wilayah,Jumlah,Tahun,,,,,Tabel Distribusi Frekuensi,,,,,,,
1,Januari,Indramayu,107,2021,,Xmaks,1300,,,,,,,,,
2,Februari,Indramayu,91,2021,,Xmin,56,,No,Jumlah,,Frekuensi,Probabilitas,Prob. Kumulatif,Interval Angka Acak,
3,Maret,Indramayu,113,2021,,Jangkauan,1244,,,,,,,,,
4,April,Indramayu,121,2021,,Kelas,7,,1,56,234,45,0.94,0.94,1,94
5,Mei,Indramayu,118,2021,,Panjang. K,178,,2,235,413,2,0.04,0.98,95,98
6,Juni,Indramayu,95,2021,,,,,3,414,592,0,0.00,0.98,,
7,Juli,Indramayu,76,2021,,,,,4,593,771,0,0.00,0.98,,
8,Agustus,Indramayu,67,2021,,,,,5,772,950,0,0.00,0.98,,
9,September,Indramayu,88,2021,,,,,6,951,1129,0,0.00,0.98,,
10,Oktober,Indramayu,90,2021,,,,,7,1130,1308,1,0.02,1.00,99,100
11,November,Indramayu,95,2021,,,,,,,,,,,,
12,Desember,Indramayu,86,2021,,,,,,,,,,,,
13,Januari,Indramayu,101,2022,,,,,,,,,,,,
14,Februari,Indramayu,81,2022,,,,,,,,,,,,
15,Maret,Indramayu,89,2022,,,,,,,,,,,,
16,April,Indramayu,85,2022,,,,,,,,,,,,
17,Mei,Indramayu,56,2022,,,,,,,,,,,,
18,Juni,Indramayu,113,2022,,,,,,,,,,,,
19,Juli,Indramayu,102,2022,,,,,,,,,,,,
20,Agustus,Indramayu,115,2022,,,,,,,,,,,,
21,September,Indramayu,1300,2022,,,,,,,,,,,,
22,Oktober,Indramayu,133,2022,,,,,,,,,,,,
23,November,Indramayu,144,2022,,,,,,,,,,,,
24,Desember,Indramayu,135,2022,,,,,,,,,,,,
25,Januari,Indramayu,150,2023,,,,,,,,,,,,
26,Februari,Indramayu,123,2023,,,,,,,,,,,,
27,Maret,Indramayu,118,2023,,,,,,,,,,,,
28,April,Indramayu,85,2023,,,,,,,,,,,,
29,Mei,Indramayu,131,2023,,,,,,,,,,,,
30,Juni,Indramayu,127,2023,,,,,,,,,,,,
31,Juli,Indramayu,115,2023,,,,,,,,,,,,
32,Agustus,Indramayu,286,2023,,,,,,,,,,,,
33,September,Indramayu,267,2023,,,,,,,,,,,,
34,Oktober,Indramayu,131,2023,,,,,,,,,,,,
35,November,Indramayu,130,2023,,,,,,,,,,,,
36,Desember,Indramayu,157,2023,,,,,,,,,,,,
37,Januari,Indramayu,123,2024,,,,,,,,,,,,
38,Februari,Indramayu,104,2024,,,,,,,,,,,,
39,Maret,Indramayu,112,2024,,,,,,,,,,,,
40,April,Indramayu,96,2024,,,,,,,,,,,,
41,Mei,Indramayu,146,2024,,,,,,,,,,,,
42,Juni,Indramayu,125,2024,,,,,,,,,,,,
43,Juli,Indramayu,143,2024,,,,,,,,,,,,
44,Agustus,Indramayu,155,2024,,,,,,,,,,,,
45,September,Indramayu,135,2024,,,,,,,,,,,,
46,Oktober,Indramayu,147,2024,,,,,,,,,,,,
47,November,Indramayu,148,2024,,,,,,,,,,,,
48,Desember,Indramayu,133,2024,,,,,,,,,,,,
