id,Bulan,Nama_Wilayah,Jumlah,Tahun,,,,,Tabel Distribusi Frekuensi,,,,,,,
1,Januari,Kuningan,50,2021,,Xmaks,288,,,,,,,,,
2,Februari,Kuningan,74,2021,,Xmin,50,,No,Jumlah,,Frekuensi,Probabilitas,Prob. Kumulatif,Interval Angka Acak,
3,Maret,Kuningan,60,2021,,Jangkauan,238,,,,,,,,,
4,April,Kuningan,77,2021,,Kelas,7,,1,50,84,16,0.33,0.33,1,33
5,Mei,Kuningan,75,2021,,Panjang. K,34,,2,85,119,10,0.21,0.54,34,54
6,Juni,Kuningan,75,2021,,,,,3,120,154,14,0.29,0.83,55,83
7,Juli,Kuningan,63,2021,,,,,4,155,189,6,0.13,0.96,84,96
8,Agustus,Kuningan,73,2021,,,,,5,190,224,0,0.00,0.00,,
9,September,Kuningan,83,2021,,,,,6,225,259,1,0.02,0.02,97,2
10,Oktober,Kuningan,79,2021,,,,,7,260,294,1,0.02,0.04,3,4
11,November,Kuningan,79,2021,,,,,,,,,,,,
12,Desember,Kuningan,89,2021,,,,,,,,,,,,
13,Januari,Kuningan,82,2022,,,,,,,,,,,,
14,Februari,Kuningan,59,2022,,,,,,,,,,,,
15,Maret,Kuningan,74,2022,,,,,,,,,,,,
16,April,Kuningan,68,2022,,,,,,,,,,,,
17,Mei,Kuningan,61,2022,,,,,,,,,,,,
18,Juni,Kuningan,91,2022,,,,,,,,,,,,
19,Juli,Kuningan,94,2022,,,,,,,,,,,,
20,Agustus,Kuningan,96,2022,,,,,,,,,,,,
21,September,Kuningan,109,2022,,,,,,,,,,,,
22,Oktober,Kuningan,117,2022,,,,,,,,,,,,
23,November,Kuningan,113,2022,,,,,,,,,,,,
24,Desember,Kuningan,147,2022,,,,,,,,,,,,
25,Januari,Kuningan,156,2023,,,,,,,,,,,,
26,Februari,Kuningan,134,2023,,,,,,,,,,,,
27,Maret,Kuningan,156,2023,,,,,,,,,,,,
28,April,Kuningan,109,2023,,,,,,,,,,,,
29,Mei,Kuningan,144,2023,,,,,,,,,,,,
30,Juni,Kuningan,118,2023,,,,,,,,,,,,
31,Juli,Kuningan,129,2023,,,,,,,,,,,,
32,Agustus,Kuningan,252,2023,,,,,,,,,,,,
33,September,Kuningan,288,2023,,,,,,,,,,,,
34,Oktober,Kuningan,129,2023,,,,,,,,,,,,
35,November,Kuningan,132,2023,,,,,,,,,,,,
36,Desember,Kuningan,111,2023,,,,,,,,,,,,
37,Januari,Kuningan,140,2024,,,,,,,,,,,,
38,Februari,Kuningan,126,2024,,,,,,,,,,,,
39,Maret,Kuningan,145,2024,,,,,,,,,,,,
40,April,Kuningan,120,2024,,,,,,,,,,,,
41,Mei,Kuningan,125,2024,,,,,,,,,,,,
42,Juni,Kuningan,149,2024,,,,,,,,,,,,
43,Juli,Kuningan,154,2024,,,,,,,,,,,,
44,Agustus,Kuningan,168,2024,,,,,,,,,,,,
45,September,Kuningan,164,2024,,,,,,,,,,,,
46,Oktober,Kuningan,186,2024,,,,,,,,,,,,
47,November,Kuningan,179,2024,,,,,,,,,,,,
48,Desember,Kuningan,151,2024,,,,,,,,,,,,
