id,Bulan,Nama_Wilayah,Jumlah,Tahun,,,,,,,
1,Januari,Lain-lain,66,2021,,,,,,,
2,Februari,Lain-lain,49,2021,,,,,,,
3,Maret,Lain-lain,45,2021,,,,,,,
4,April,Lain-lain,39,2021,,,,,,,
5,Mei,Lain-lain,55,2021,,,,,,,
6,Juni,Lain-lain,66,2021,,,,,,,
7,Juli,Lain-lain,78,2021,,,,,,,
8,Agustus,Lain-lain,36,2021,,,,,,,
9,September,Lain-lain,47,2021,,,,,,,
10,Oktober,Lain-lain,42,2021,,,,,,,
11,November,Lain-lain,34,2021,,,,,,,
12,Desember,Lain-lain,43,2021,,,,,,,
13,Januari,Lain-lain,38,2022,,,,,,,
14,Februari,Lain-lain,56,2022,,,,,,,
15,Maret,Lain-lain,50,2022,,,,,,,
16,April,Lain-lain,34,2022,,,,,,,
17,Mei,Lain-lain,57,2022,,,,,,,
18,Juni,Lain-lain,50,2022,,,,,,,
19,Juli,Lain-lain,66,2022,,,,,,,
20,Agustus,Lain-lain,78,2022,,,,,,,
21,September,Lain-lain,72,2022,,,,,,,
22,Oktober,Lain-lain,79,2022,,,,,,,
23,November,Lain-lain,79,2022,,,,,,,
24,Desember,Lain-lain,86,2022,,,,,,,
25,Januari,Lain-lain,32,2023,,,,,,,
26,Februari,Lain-lain,71,2023,,,,,,,
27,Maret,Lain-lain,67,2023,,,,,,,
28,April,Lain-lain,78,2023,,,,,,,
29,Mei,Lain-lain,89,2023,,,,,,,
30,Juni,Lain-lain,86,2023,,,,,,,
31,Juli,Lain-lain,78,2023,,,,,,,
32,Agustus,Lain-lain,199,2023,,,,,,,
33,September,Lain-lain,259,2023,,,,,,,
34,Oktober,Lain-lain,143,2023,,,,,,,
35,November,Lain-lain,173,2023,,,,,,,
36,Desember,Lain-lain,111,2023,,,,,,,
37,Januari,Lain-lain,125,2024,,,,,,,
38,Februari,Lain-lain,94,2024,,,,,,,
39,Maret,Lain-lain,86,2024,,,,,,,
40,April,Lain-lain,121,2024,,,,,,,
41,Mei,Lain-lain,129,2024,,,,,,,
42,Juni,Lain-lain,119,2024,,,,,,,
43,Juli,Lain-lain,134,2024,,,,,,,
44,Agustus,Lain-lain,107,2024,,,,,,,
45,September,Lain-lain,97,2024,,,,,,,
46,Oktober,Lain-lain,114,2024,,,,,,,
47,November,Lain-lain,81,2024,,,,,,,
48,Desember,Lain-lain,87,2024,,,,,,,
