id,Bulan,Nama_Wilayah,Jumlah,Tahun
1,Januari,Majalengka,41,2021
2,Februari,Majalengka,61,2021
3,Maret,Majalengka,59,2021
4,April,Majalengka,64,2021
5,Mei,Majalengka,57,2021
6,Juni,Majalengka,61,2021
7,Juli,Majalengka,67,2021
8,Agustus,Majalengka,46,2021
9,September,Majalengka,60,2021
10,Oktober,Majalengka,66,2021
11,November,Majalengka,58,2021
12,Desember,Majalengka,48,2021
13,Januari,Majalengka,50,2022
14,Februari,Majalengka,68,2022
15,Maret,Majalengka,45,2022
16,April,Majalengka,49,2022
17,Mei,Majalengka,48,2022
18,Juni,Majalengka,59,2022
19,Juli,Majalengka,55,2022
20,Agustus,Majalengka,68,2022
21,September,Majalengka,86,2022
22,Oktober,Majalengka,72,2022
23,November,Majalengka,75,2022
24,Desember,Majalengka,66,2022
25,Januari,Majalengka,78,2023
26,Februari,Majalengka,72,2023
27,Maret,Majalengka,70,2023
28,April,Majalengka,48,2023
29,Mei,Majalengka,67,2023
30,Juni,Majalengka,62,2023
31,Juli,Majalengka,69,2023
32,Agustus,Majalengka,233,2023
33,September,Majalengka,265,2023
34,Oktober,Majalengka,87,2023
35,November,Majalengka,78,2023
36,Desember,Majalengka,78,2023
37,Januari,Majalengka,86,2024
38,Februari,Majalengka,61,2024
39,Maret,Majalengka,69,2024
40,April,Majalengka,64,2024
41,Mei,Majalengka,80,2024
42,Juni,Majalengka,76,2024
43,Juli,Majalengka,88,2024
44,Agustus,Majalengka,94,2024
45,September,Majalengka,78,2024
46,Oktober,Majalengka,88,2024
47,November,Majalengka,89,2024
48,Desember,Majalengka,79,2024
