"SIMULASI MONTE CARLO UNTUK MEMPREDIKSI  
JUMLAH KUNJUNGAN PASIEN RAWAT INAP DI RUMAH SAKIT GUNUNG JATI KOTA CIREBON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,tahun,bulan,Angka Acak,,,,,,Simulasi,,,,,,Variabel Turunan 1: Selisih Jumlah,,,,,,Variabel Turunan 2: Tren Kunjungan,,,,,,Variabel Turunan 3: Persentase Perubahan Bulanan,,,,,
,,,Kota Cirebon,Kab. Cirebon,Kuningan,Indramayu,Majalengka,Lain-lain,Kota Cirebon,Kab. Cirebon,Kuningan,Indramayu,Majalengka,Lain-lain,Kota Cirebon,Kab. Cirebon,Kuningan,Indramayu,Majalengka,Lain-lain,Kota Cirebon,Kab. Cirebon,Kuningan,Indramayu,Majalengka,Lain-lain,Kota Cirebon,Kab. Cirebon,Kuningan,Indramayu,Majalengka,Lain-lain
1,2021,Januari,52,66,6,82,10,37,426,993,72,159,54,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2021,Februari,11,89,30,81,88,63,354,1287,70,67,104,98,-72,294,-2,-92,50,14,Turun,Naik,Turun,Turun,Naik,Naik,-17%,30%,-3%,-58%,93%,17%
3,2021,Maret,60,88,6,35,26,27,468,1210,55,76,62,62,114,-77,-15,9,-42,-36,Naik,Turun,Turun,Naik,Turun,Turun,32%,-6%,-21%,13%,-40%,-37%
4,2021,April,3,49,80,15,40,74,280,814,143,123,64,84,-188,-396,88,47,2,22,Turun,Turun,Naik,Naik,Naik,Naik,-40%,-33%,160%,62%,3%,35%
5,2021,Mei,51,77,80,16,53,94,445,1075,130,95,56,139,165,261,-13,-28,-8,55,Naik,Naik,Turun,Turun,Turun,Naik,59%,32%,-9%,-23%,-13%,65%
6,2021,Juni,9,28,74,67,35,95,318,694,137,138,42,197,-127,-381,7,43,-14,58,Turun,Turun,Naik,Naik,Turun,Naik,-29%,-35%,5%,45%,-25%,42%
7,2021,Juli,78,100,92,37,51,55,490,1451,163,223,60,81,172,757,26,85,18,-116,Naik,Naik,Naik,Naik,Naik,Turun,54%,109%,19%,62%,43%,-59%
8,2021,Agustus,70,62,65,13,100,37,474,968,127,215,246,67,-16,-483,-36,-8,186,-14,Turun,Turun,Turun,Turun,Naik,Turun,-3%,-33%,-22%,-4%,310%,-17%
9,2021,September,11,47,89,23,60,48,353,857,182,56,69,87,-121,-111,55,-159,-177,20,Turun,Turun,Naik,Turun,Turun,Naik,-26%,-11%,43%,-74%,-72%,30%
10,2021,Oktober,14,71,48,16,19,98,315,1174,96,124,48,172,-38,317,-86,68,-21,85,Turun,Naik,Turun,Naik,Turun,Naik,-11%,37%,-47%,121%,-30%,98%
11,2021,November,99,32,87,44,1,35,626,687,177,201,60,95,311,-487,81,77,12,-77,Naik,Turun,Naik,Naik,Naik,Turun,99%,-41%,84%,62%,25%,-45%
12,2021,Desember,80,43,53,98,30,26,560,769,102,282,55,52,-66,82,-75,81,-5,-43,Turun,Naik,Turun,Naik,Turun,Turun,-11%,12%,-42%,40%,-8%,-45%
13,2022,Januari,97,48,67,38,63,12,608,837,129,78,51,49,48,68,27,-204,-4,-3,Naik,Naik,Naik,Turun,Turun,Turun,9%,9%,26%,-72%,-7%,-6%
14,2022,Februari,13,39,51,93,54,62,314,756,85,89,54,79,-294,-81,-44,11,3,30,Turun,Turun,Turun,Naik,Naik,Naik,-48%,-10%,-34%,14%,6%,61%
15,2022,Maret,70,87,51,43,9,65,488,1256,97,167,67,79,174,500,12,78,13,0,Naik,Naik,Naik,Naik,Naik,Stabil,55%,66%,14%,88%,24%,0%
16,2022,April,20,65,63,34,52,35,347,1015,135,87,46,74,-141,-241,38,-80,-21,-5,Turun,Turun,Naik,Turun,Turun,Turun,-29%,-19%,39%,-48%,-31%,-6%
